,session,video_id,utc_start_s,utc_start_ms,start_s,start_ms,end_s,end_ms,elapsed_s,elapsed_ms
0,2020-07-28-06-01-11,2020-07-28-06-01-11,964868527,713,56,46,1556,514,1500,468
1,2020-07-28-06-01-11,unknown,964870028,181,1556,514,1749,488,192,974
2,2020-09-23-16-10-10,2020-09-23-VIRB0001,969829854,741,38,57,119,171,81,114
3,2020-09-23-16-10-10,2020-09-23-VIRB0002,969829956,258,139,574,250,151,110,577
4,2020-09-23-16-10-10,unknown,969830316,248,499,564,639,69,139,505
5,2020-09-23-16-10-10,2020-09-23-VIRB0004,969830811,205,994,521,1047,90,52,569
6,2020-09-23-16-10-10,unknown,969831113,170,1296,486,1406,295,109,809
7,2020-09-23-16-10-10,unknown,969831228,968,1412,284,1544,799,132,515
8,2020-09-23-16-10-10,unknown,969831494,148,1677,464,1786,505,109,41
9,2020-09-23-16-10-10,2020-09-23-VIRB0008,969832325,654,2508,970,2603,697,94,727
10,2020-09-23-16-10-10,unknown,969832810,334,2993,650,3128,166,134,516
11,2020-09-24-12-07-41,2020-09-24-1,969901730,242,69,578,1570,30,1500,452
12,2020-09-24-12-07-41,2020-09-24-2,969903230,694,1570,30,3070,516,1500,486
13,2020-09-24-12-07-41,2020-09-24-3,969904731,180,3070,516,4571,1,1500,485
14,2020-09-24-12-07-41,2020-09-24-4,969906231,665,4571,1,4926,419,355,418
15,2020-09-29-09-46-42,2020-09-29-09-46-42-1,970325257,797,56,50,1556,468,1500,418
16,2020-09-29-09-46-42,2020-09-29-09-46-42-2,970326758,215,1556,468,3056,954,1500,486
17,2020-09-29-09-46-42,2020-09-29-09-46-42-3,970328258,701,3056,954,4557,439,1500,485
18,2020-09-29-09-46-42,2020-09-29-09-46-42-4,970329759,186,4557,439,5269,461,712,22
19,2020-10-02-10-17-05,2020-10-02-10-17-05-1,970586258,96,32,376,1532,778,1500,402
20,2020-10-02-10-17-05,2020-10-02-10-17-05-2,970587758,498,1532,778,1742,569,209,791
21,2020-10-02-10-17-05,2020-10-02-10-17-05-3,970588070,257,1844,537,2408,745,564,208